"footnoteSeqID","Footnote"
"45","Population in households only."
"46","Excluding 2134 Filipinos in Philippine Embassies, Consulates and Missions Abroad."
"47","Data refer to population under 15 years of age."
"48","Data are based on 20 per cent sample survey of general enumeration districts (exclude special enumeration districts)."
"49","Data refer to Korean population only."
"50","Excluding foreigners."
"51","Data have not been adjusted for underenumeration."
"52","Excluding alien armed forces, civilian aliens employed by armed forces, foreign diplomatic personnel and their dependants and Korean diplomatic personnel and their dependants outside the country."
"53","Excludes non-residents present in country at time of census (visitors, foreigners temporarily residing in country, etc.)."
"54","Tiraspol, Bender, Slobozia, Ribnita, Camenca  Yrigoricpol/Grigoriopol are districts from Transnistria where the census was not conducted."
"55","Excluding non-residents present in country at time of census."
"56","Data refer to population in private households."
"57","Residents of the ordinary households"
"58","Data refer to total resident population, Saint Helenian and other nationalities."
"59","Data refers to the sum total of Amazing Love Christian Church and Christian Fellowship."
"60","Excludes data for Kosovo and Metohia."
"61","Data refer to Buddhism and Hinduism."
"62","Data refer to resident population which comprises Singapore citizens and permanent residents."
"63","Data are based on the latest register-based population estimates for 2010."
"64","Data refer to age 15 and over."
"65","Including persons who practise Chinese traditional beliefs."
"66","Data refer to resident population 15 years of age and over."
"67","The Population and Housing Census 2001 did not cover the whole area of the country due to the security problems; data refer to the 18 districts for which the census was completed only (in three districts it was not possible to conduct the census at all and in four districts it was partially conducted)."
"68","Data for urban include population in refugee camps."
"69","Data refer to Palestinian population only."
"70","Total population does not include Palestinian population living in those parts of Jerusalem governorate which were annexed by Israel in 1967, amounting to 210 209 persons. Likewise, the results does not include the estimates of not enumerated population based on the findings of the post enumeration study, i.e 83 805 persons."
"71","Figures for male and female population do not add up to the figure for total population, because they exclude 365 persons of unknown sex."
"72","The districts of Paramaribo and Wanica are considered urban areas, whereas all other districts are considered more or less rural areas."
"73","Based on the results of a 2011 structural survey of permanent resident population covering 260,000 people aged 15 or over living in private households. Diplomats, international civil servants and members of their families, as well as those living in collective households were not considered."
"74","Extrapolation based on less than 50 observations. The results should be interpreted with caution."
"75","Data for urban refer to population in municipalities while data for rural refer to the population in non-municipal areas."
"76","Data refer to population 6 years or older in private households."
"77","Data refer to usually resident population present on census night."
"78","Data refer to usual residents in country at time of census."
"79","Data refer to Tongans and part-Tongans only."
"80","Data refer to non-institutional population."
"81","Data refer to resident population."
"82","Excluding population enumerated in hotels."
"83","Other includes Orthodox, Bahai, Other Christian, Non-Christian, and Traditional."
"84","Excluding Channel Islands (Guernsey and Jersey) and Isle of Man, shown separately, if available."
