Country,CountryCode,Region,IncomeGroup,LifeExp,MajorReligion,MajorReligionPop,Year,Beer_LitersAlcPerYear,Beer_LitersPerYear,Wine_LitersAlcPerYear,Wine_LitersPerYear,Spirits_LitersAlcPerYear,Spirits_LitersPerYear,Total_LitersAlcPerYear
Kenya,KEN,Africa,Low_income,53.2,Protestant,15777430,1961,2.1,42.0,0.02,0.16666666666666669,0.38,0.95,2.5
Kiribati,KIR,Western Pacific,Lower_middle_income,57.9,Roman Catholic,63116,1961,0.23,4.6,0.02,0.16666666666666669,0.13,0.325,0.38
Saint Kitts and Nevis,KNA,Americas,Upper_middle_income,63.2,,,1961,0.36,7.199999999999999,0.17,1.4166666666666667,2.85,7.125,3.38
Republic of Korea,KOR,Western Pacific,High_income,72.7,No Religion,27498715,1961,0.04,0.7999999999999999,0.0,0.0,0.41,1.025,0.44999999999999996
Kuwait,KWT,Eastern Mediterranean,High_income,67.9,,,1961,0.0,0.0,0.0,0.0,0.02,0.049999999999999996,0.02
Lao People's Democratic Republic,LAO,Western Pacific,Low_income,57.2,Buddhist,4201993,1961,0.08,1.5999999999999999,0.02,0.16666666666666669,2.93,7.325,3.0300000000000002
Lebanon,LBN,Eastern Mediterranean,Upper_middle_income,69.7,,,1961,0.31,6.199999999999999,0.48,4.0,3.22,8.05,4.01
Liberia,LBR,Africa,Low_income,52.4,Roman Catholic,2975675,1961,0.35,6.999999999999999,0.02,0.16666666666666669,1.25,3.125,1.62
Libya,LBY,Eastern Mediterranean,Upper_middle_income,64.4,,,1961,0.22,4.3999999999999995,0.52,4.333333333333334,0.0,0.0,0.74
Saint Lucia,LCA,Americas,Upper_middle_income,63.0,Roman Catholic,105755,1961,0.21,4.199999999999999,0.27,2.2500000000000004,7.48,18.7,7.960000000000001
Sri Lanka,LKA,South_East Asia,Lower_middle_income,65.4,Buddhist,14272056,1961,0.06,1.2,0.0,0.0,0.29,0.7249999999999999,0.35
Lesotho,LSO,Africa,Lower_middle_income,43.0,,,1961,0.97,19.4,0.0,0.0,0.0,0.0,0.97
Luxembourg,LUX,Europe,High_income,71.6,,,1961,4.5,90.0,11.21,93.41666666666667,2.83,7.075,18.54
Morocco,MAR,Eastern Mediterranean,Lower_middle_income,60.9,,,1961,0.33,6.6,1.3,10.833333333333334,0.28,0.7000000000000001,1.9100000000000001
Madagascar,MDG,Africa,Low_income,55.1,,,1961,0.08,1.5999999999999999,0.96,8.0,2.12,5.3,3.16
Mexico,MEX,Americas,Upper_middle_income,67.0,Roman Catholic,92924489,1961,1.84,36.8,0.2,1.6666666666666667,0.77,1.925,2.81
Mali,MLI,Africa,Low_income,48.9,,,1961,0.01,0.19999999999999998,0.06,0.5,0.0,0.0,0.06999999999999999
Malta,MLT,Europe,High_income,70.6,,,1961,0.91,18.2,0.47,3.9166666666666665,0.6,1.4999999999999998,1.98
Myanmar,MMR,South_East Asia,Low_income,57.2,Buddhist,45185449,1961,0.01,0.19999999999999998,0.0,0.0,0.24,0.6,0.25
Mongolia,MNG,Western Pacific,Lower_middle_income,60.0,Buddhist,1009357,1961,0.14,2.8000000000000003,0.0,0.0,1.13,2.8249999999999997,1.27
Mozambique,MOZ,Africa,Low_income,46.3,Roman Catholic,5748176,1961,0.15,2.9999999999999996,1.14,9.5,0.6,1.4999999999999998,1.8899999999999997
Mauritania,MRT,Africa,Low_income,53.6,,,1961,0.04,0.7999999999999999,0.07,0.5833333333333334,0.0,0.0,0.11000000000000001
Mauritius,MUS,Africa,Upper_middle_income,64.8,Hindu,469313,1961,0.76,15.2,0.15,1.25,1.62,4.05,2.5300000000000002
Malawi,MWI,Africa,Low_income,51.0,Roman Catholic,13581623,1961,1.6,32.0,0.0,0.0,0.0,0.0,1.6
Malaysia,MYS,Western Pacific,Upper_middle_income,64.6,Muslim,17375794,1961,0.4,8.0,0.02,0.16666666666666669,0.17,0.425,0.5900000000000001
Namibia,NAM,Africa,Upper_middle_income,58.1,,,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,NER,Africa,Low_income,50.7,Muslim,16978889,1961,0.05,1.0,0.08,0.6666666666666667,0.0,0.0,0.13
Nigeria,NGA,Africa,Lower_middle_income,47.0,,,1961,0.07,1.4000000000000001,0.0,0.0,0.01,0.024999999999999998,0.08
Nicaragua,NIC,Americas,Lower_middle_income,64.0,Roman Catholic,2652985,1961,0.23,4.6,0.0,0.0,3.88,9.7,4.11
Netherlands,NLD,Europe,High_income,71.4,,,1961,1.88,37.599999999999994,0.4,3.3333333333333335,1.69,4.225,3.9699999999999998
Norway,NOR,Europe,High_income,70.6,,,1961,1.75,35.0,0.21,1.75,1.78,4.45,3.74
Nepal,NPL,South_East Asia,Low_income,59.2,Hindu,21551492,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,NZL,Western Pacific,High_income,72.0,No Religion,1635348,1961,6.71,134.2,0.38,3.166666666666667,1.58,3.95,8.67
Oman,OMN,Eastern Mediterranean,High_income,66.0,,,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,PAK,Eastern Mediterranean,Lower_middle_income,56.7,,,1961,0.01,0.19999999999999998,0.0,0.0,0.0,0.0,0.01
Panama,PAN,Americas,Upper_middle_income,67.2,,,1961,1.59,31.8,0.08,0.6666666666666667,1.74,4.35,3.41
Peru,PER,Americas,Upper_middle_income,66.9,Roman Catholic,17635339,1961,1.11,22.2,0.2,1.6666666666666667,5.63,14.075,6.9399999999999995
Philippines,PHL,Western Pacific,Lower_middle_income,59.8,Roman Catholic,80304061,1961,0.35,6.999999999999999,0.0,0.0,0.35,0.8749999999999999,0.7
Papua New Guinea,PNG,Western Pacific,Lower_middle_income,53.5,,,1961,0.18,3.5999999999999996,0.01,0.08333333333333334,0.1,0.25,0.29000000000000004
Poland,POL,Europe,Upper_middle_income,67.0,Roman Catholic,33331533,1961,1.76,35.199999999999996,0.92,7.666666666666667,3.59,8.975,6.27
Democratic People's Republic of Korea,PRK,South_East Asia,Low_income,62.6,,,1961,0.99,19.799999999999997,0.0,0.0,1.78,4.45,2.77
Portugal,PRT,Europe,High_income,70.9,Roman Catholic,7281887,1961,0.3,5.999999999999999,14.12,117.66666666666667,0.6,1.4999999999999998,15.02
Paraguay,PRY,Americas,Lower_middle_income,64.7,Roman Catholic,3488086,1961,0.28,5.6000000000000005,0.54,4.500000000000001,2.83,7.075,3.6500000000000004
Qatar,QAT,Eastern Mediterranean,High_income,67.9,Muslim,576391,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,ROU,Europe,Upper_middle_income,65.7,Orthodox,16307004,1961,0.77,15.4,3.71,30.916666666666668,1.22,3.05,5.7
Rwanda,RWA,Africa,Low_income,55.7,Roman Catholic,4599371,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,SAU,Eastern Mediterranean,High_income,65.4,,,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,SDN,Eastern Mediterranean,Lower_middle_income,53.3,,,1961,1.27,25.4,0.0,0.0,0.02,0.049999999999999996,1.29
Senegal,SEN,Africa,Low_income,55.4,,,1961,0.24,4.8,0.91,7.583333333333334,0.06,0.15,1.21
Singapore,SGP,Western Pacific,High_income,76.3,Buddhist,1032879,1961,1.51,30.2,0.04,0.33333333333333337,0.46,1.15,2.0100000000000002
Solomon Islands,SLB,Western Pacific,Lower_middle_income,59.6,,,1961,0.29,5.799999999999999,0.01,0.08333333333333334,0.07,0.17500000000000002,0.37
Sierra Leone,SLE,Africa,Low_income,39.4,,,1961,0.18,3.5999999999999996,0.09,0.75,0.05,0.125,0.32
El Salvador,SLV,Americas,Lower_middle_income,63.1,,,1961,0.43,8.6,0.01,0.08333333333333334,1.06,2.65,1.5
Somalia,SOM,Eastern Mediterranean,Low_income,46.1,,,1961,0.02,0.39999999999999997,0.03,0.25,0.01,0.024999999999999998,0.060000000000000005
Sao Tome and Principe,STP,Africa,Lower_middle_income,57.5,Roman Catholic,99570,1961,0.5,10.0,5.81,48.416666666666664,0.0,0.0,6.31
Suriname,SUR,Americas,Upper_middle_income,65.2,Roman Catholic,262320,1961,1.22,24.4,0.05,0.4166666666666667,4.87,12.174999999999999,6.140000000000001
Slovakia,SVK,Europe,High_income,66.7,Roman Catholic,3347277,1961,5.45,109.0,2.42,20.166666666666668,1.41,3.5249999999999995,9.28
Sweden,SWE,Europe,High_income,71.6,,,1961,2.35,47.0,0.55,4.583333333333334,3.14,7.85,6.040000000000001
Swaziland,SWZ,Africa,Lower_middle_income,45.0,,,1961,7.03,140.6,0.0,0.0,0.0,0.0,7.03
Seychelles,SYC,Africa,Upper_middle_income,66.7,Roman Catholic,67280,1961,0.58,11.599999999999998,0.16,1.3333333333333335,0.4,1.0,1.1400000000000001
Syrian Arab Republic,SYR,Eastern Mediterranean,Lower_middle_income,65.8,,,1961,0.06,1.2,0.0,0.0,0.08,0.19999999999999998,0.14
Chad,TCD,Africa,Low_income,44.3,,,1961,0.18,3.5999999999999996,0.08,0.6666666666666667,0.02,0.049999999999999996,0.28
Togo,TGO,Africa,Low_income,50.0,,,1961,2.15,42.99999999999999,0.25,2.0833333333333335,0.26,0.65,2.66
Thailand,THA,South_East Asia,Lower_middle_income,65.7,Buddhist,61746429,1961,0.02,0.39999999999999997,0.0,0.0,0.24,0.6,0.26
Timor_Leste,TLS,South_East Asia,Lower_middle_income,57.2,Roman Catholic,715285,1961,0.03,0.6,0.1,0.8333333333333334,0.05,0.125,0.18
Trinidad and Tobago,TTO,Americas,High_income,60.5,Roman Catholic,285671,1961,0.96,19.2,0.12,1.0,1.72,4.3,2.8
Tunisia,TUN,Eastern Mediterranean,Lower_middle_income,66.4,,,1961,0.43,8.6,1.19,9.916666666666666,0.08,0.19999999999999998,1.7
Turkey,TUR,Europe,Upper_middle_income,65.4,,,1961,0.21,4.199999999999999,0.2,1.6666666666666667,0.34,0.85,0.75
United Republic of Tanzania,TZA,Africa,Low_income,53.3,,,1961,0.13,2.6,0.01,0.08333333333333334,0.16,0.39999999999999997,0.30000000000000004
Uganda,UGA,Africa,Low_income,50.3,Roman Catholic,10242594,1961,0.17,3.4,0.01,0.08333333333333334,0.24,0.6,0.42000000000000004
Uruguay,URY,Americas,Upper_middle_income,67.7,,,1961,2.53,50.599999999999994,5.68,47.333333333333336,0.86,2.15,9.069999999999999
United States of America,USA,Americas,High_income,69.3,,,1961,3.67,73.39999999999999,0.87,7.25,3.26,8.149999999999999,7.8
Venezuela (Bolivarian Republic of),VEN,Americas,Upper_middle_income,66.2,,,1961,2.54,50.8,0.03,0.25,2.36,5.8999999999999995,4.93
Viet Nam,VNM,Western Pacific,Low_income,65.9,No Religion,61570544,1961,0.19,3.8,0.0,0.0,0.48,1.2,0.6699999999999999
Vanuatu,VUT,Western Pacific,Lower_middle_income,62.4,Presbyterian,65345,1961,1.43,28.599999999999998,2.28,19.0,0.31,0.7749999999999999,4.02
Samoa,WSM,Western Pacific,Lower_middle_income,64.1,Congregational,56818,1961,0.28,5.6000000000000005,0.0,0.0,0.33,0.825,0.6100000000000001
Yemen,YEM,Eastern Mediterranean,Low_income,54.7,,,1961,0.68,13.6,0.0,0.0,0.02,0.049999999999999996,0.7000000000000001
South Africa,ZAF,Africa,Upper_middle_income,51.8,No Religion,6767165,1961,0.37,7.3999999999999995,3.83,31.916666666666668,2.23,5.574999999999999,6.43
Zambia,ZMB,Africa,Low_income,50.3,Protestant,9436231,1961,0.38,7.6,0.02,0.16666666666666669,0.09,0.22499999999999998,0.49
Zimbabwe,ZWE,Africa,Low_income,49.8,,,1961,0.25,5.0,0.04,0.33333333333333337,0.41,1.025,0.7
Afghanistan,AFG,Eastern Mediterranean,Low_income,50.0,,,1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,Africa,Lower_middle_income,44.5,,,1962,0.91,18.2,2.38,19.833333333333332,1.2,2.9999999999999996,4.49
Albania,ALB,Europe,Lower_middle_income,64.8,Muslim,1587608,1962,0.49,9.799999999999999,0.28,2.3333333333333335,0.41,1.025,1.18
Argentina,ARG,Americas,Upper_middle_income,66.7,,,1962,0.6,11.999999999999998,14.03,116.91666666666667,2.11,5.2749999999999995,16.74
Antigua and Barbuda,ATG,Americas,High_income,64.1,Anglican,19767,1962,0.29,5.799999999999999,0.09,0.75,2.84,7.1,3.2199999999999998
Australia,AUS,Western Pacific,High_income,72.6,No Religion,6933708,1962,6.44,128.8,0.91,7.583333333333334,1.16,2.8999999999999995,8.51
Austria,AUT,Europe,High_income,70.6,Roman Catholic,5915421,1962,5.2,104.0,2.9,24.166666666666668,1.6,4.0,9.7
Burundi,BDI,Africa,Low_income,48.0,Roman Catholic,4941833,1962,1.38,27.599999999999998,0.01,0.08333333333333334,0.0,0.0,1.39
Benin,BEN,Africa,Low_income,50.4,,,1962,0.53,10.6,0.22,1.8333333333333335,0.15,0.37499999999999994,0.9
Burkina Faso,BFA,Africa,Low_income,50.6,Muslim,8485149,1962,0.29,5.799999999999999,0.1,0.8333333333333334,0.01,0.024999999999999998,0.4
Bangladesh,BGD,South_East Asia,Low_income,60.8,Muslim,111393250,1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,BHS,Americas,High_income,64.4,Baptist,122500,1962,2.68,53.6,1.08,9.000000000000002,6.68,16.7,10.44
Belize,BLZ,Americas,Lower_middle_income,63.6,Roman Catholic,129456,1962,1.06,21.2,0.06,0.5,4.81,12.024999999999999,5.93
Bolivia (Plurinational State of),BOL,Americas,Lower_middle_income,59.2,,,1962,0.49,9.799999999999999,0.06,0.5,0.85,2.125,1.4
Brunei Darussalam,BRN,Western Pacific,High_income,68.7,Muslim,309962,1962,0.59,11.799999999999999,0.04,0.33333333333333337,0.0,0.0,0.63
Bhutan,BTN,South_East Asia,Lower_middle_income,59.4,,,1962,0.45,9.0,0.0,0.0,0.0,0.0,0.45
Botswana,BWA,Africa,Upper_middle_income,54.2,Roman Catholic,1171537,1962,2.91,58.2,0.13,1.0833333333333335,0.41,1.025,3.45
Central African Republic,CAF,Africa,Low_income,43.7,,,1962,0.85,17.0,0.71,5.916666666666667,0.07,0.17500000000000002,1.6300000000000001
Canada,CAN,Americas,High_income,72.0,Roman Catholic,12728880,1962,4.19,83.8,0.41,3.4166666666666665,2.39,5.975,6.99
China,CHN,Western Pacific,Lower_middle_income,68.0,,,1962,0.01,0.19999999999999998,0.0,0.0,0.59,1.4749999999999999,0.6
Côte d'Ivoire,CIV,Africa,Lower_middle_income,45.6,Muslim,9618121,1962,0.72,14.399999999999999,1.58,13.166666666666668,0.08,0.19999999999999998,2.38
Cameroon,CMR,Africa,Lower_middle_income,48.5,,,1962,0.31,6.199999999999999,0.42,3.5,0.33,0.825,1.06
Democratic Republic of the Congo,COD,Africa,Low_income,44.4,,,1962,0.19,3.8,0.02,0.16666666666666669,0.0,0.0,0.21
Congo,COG,Africa,Lower_middle_income,50.3,,,1962,0.65,13.0,0.02,0.16666666666666669,0.22,0.5499999999999999,0.89
Colombia,COL,Americas,Upper_middle_income,67.2,,,1962,3.53,70.6,0.01,0.08333333333333334,0.91,2.275,4.449999999999999
Comoros,COM,Africa,Low_income,53.8,,,1962,0.04,0.7999999999999999,0.09,0.75,0.0,0.0,0.13
Cabo Verde,CPV,Africa,Lower_middle_income,63.8,,,1962,0.15,2.9999999999999996,1.08,9.000000000000002,0.48,1.2,1.71
Costa Rica,CRI,Americas,Upper_middle_income,69.3,,,1962,0.58,11.599999999999998,0.04,0.33333333333333337,2.27,5.675,2.89
Cuba,CUB,Americas,Upper_middle_income,66.4,,,1962,0.88,17.599999999999998,0.01,0.08333333333333334,0.99,2.4749999999999996,1.88
Cyprus,CYP,Europe,High_income,74.4,Orthodox,653635,1962,0.71,14.2,1.53,12.75,2.2,5.5,4.44
Czech Republic,CZE,Europe,High_income,68.7,Unknown,4662455,1962,5.87,117.39999999999999,1.81,15.083333333333334,1.44,3.5999999999999996,9.12
Germany,DEU,Europe,High_income,71.1,Other,32783750,1962,6.86,137.2,2.15,17.916666666666668,3.04,7.6,12.05
Djibouti,DJI,Eastern Mediterranean,Lower_middle_income,52.9,,,1962,1.47,29.4,2.9,24.166666666666668,0.0,0.0,4.37
Denmark,DNK,Europe,High_income,70.0,,,1962,5.05,100.99999999999999,0.56,4.666666666666667,0.95,2.3749999999999996,6.56
Dominican Republic,DOM,Americas,Upper_middle_income,63.0,,,1962,0.57,11.399999999999999,0.01,0.08333333333333334,1.48,3.6999999999999997,2.06
Algeria,DZA,Africa,Upper_middle_income,62.4,,,1962,0.51,10.2,1.14,9.5,0.11,0.27499999999999997,1.76
Ecuador,ECU,Americas,Lower_middle_income,65.9,,,1962,0.65,13.0,0.01,0.08333333333333334,0.62,1.5499999999999998,1.28
Egypt,EGY,Eastern Mediterranean,Lower_middle_income,61.8,,,1962,0.05,1.0,0.02,0.16666666666666669,0.5,1.25,0.5700000000000001
Eritrea,ERI,Africa,Low_income,54.5,,,1962,0.83,16.599999999999998,0.0,0.0,0.0,0.0,0.83
Spain,ESP,Europe,High_income,73.2,,,1962,1.05,21.0,10.49,87.41666666666667,3.1,7.75,14.64
Ethiopia,ETH,Africa,Low_income,55.6,Orthodox,32092182,1962,0.86,17.2,0.0,0.0,0.0,0.0,0.86
Finland,FIN,Europe,High_income,70.8,Lutheran,4207192,1962,0.61,12.2,0.37,3.0833333333333335,0.95,2.3749999999999996,1.93
Fiji,FJI,Western Pacific,Upper_middle_income,60.4,Methodist,289923,1962,0.59,11.799999999999999,0.02,0.16666666666666669,0.48,1.2,1.0899999999999999
France,FRA,Europe,High_income,71.8,,,1962,1.82,36.4,19.71,164.25,3.07,7.674999999999999,24.6
Micronesia (Federated States of),FSM,Western Pacific,Lower_middle_income,59.8,Roman Catholic,56365,1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,GAB,Africa,Upper_middle_income,53.9,,,1962,1.71,34.199999999999996,4.05,33.75,0.27,0.675,6.029999999999999
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,High_income,70.5,Roman Catholic,37583962,1962,5.77,115.39999999999999,0.29,2.4166666666666665,1.03,2.5749999999999997,7.09
Ghana,GHA,Africa,Low_income,54.1,Pentecostal,6980792,1962,0.3,5.999999999999999,0.01,0.08333333333333334,0.01,0.024999999999999998,0.32
